CHROM	GENE	GENE_NAME	TRAIT	TRAIT_NAME	NOCOND_LOG10P	NOCOND_PVAL	NOCOND_FDR	COND_LOG10P	COND_PVAL	COND_FDR	COND_PASSING_PVAL1e9	COND_PASSING_FDR5	ANNOTATION
6	ENSG00000124490	CRISP2	p30300	High light scatter reticulocyte count	8.22	6.00E-09	1.41E-05	7.30	5.06E-08	1.04E-03	0	1	NC
11	ENSG00000149591	TAGLN	p30760	HDL Cholesterol	68.70	2.01E-69	1.08E-64	7.21	6.21E-08	1.24E-03	0	1	NC
6	ENSG00000170950	PGK2	p30270	Mean sphered cell volume	7.61	2.45E-08	5.10E-05	6.98	1.05E-07	2.03E-03	0	1	NC
6	ENSG00000096006	CRISP3	p30250	Reticulocyte count	9.12	7.52E-10	2.27E-06	6.90	1.25E-07	2.36E-03	0	1	NC
16	ENSG00000131143	COX4I1	p30130	Monocyte count	62.81	1.56E-63	6.40E-59	6.84	1.43E-07	2.50E-03	0	1	NC
16	ENSG00000131148	EMC8	p30130	Monocyte count	62.81	1.56E-63	6.40E-59	6.84	1.43E-07	2.50E-03	0	1	NC
11	ENSG00000160584	SIK3	p30870	Triglycerides	154.06	8.75E-155	7.64E-150	6.84	1.43E-07	2.50E-03	0	1	NC
13	ENSG00000122025	FLT3	p30190	Monocyte percentage	4.05	8.97E-05	6.25E-02	6.59	2.59E-07	4.41E-03	0	1	NC
6	ENSG00000146192	FGD2	p30270	Mean sphered cell volume	5.79	1.61E-06	2.21E-03	6.52	3.05E-07	5.06E-03	0	1	NC
6	ENSG00000137168	PPIL1	p30270	Mean sphered cell volume	5.81	1.53E-06	2.13E-03	6.50	3.18E-07	5.17E-03	0	1	NC
6	ENSG00000096006	CRISP3	p30260	Mean reticulocyte volume	7.51	3.10E-08	6.40E-05	6.24	5.77E-07	9.16E-03	0	1	NC
17	ENSG00000213859	KCTD11	p30600	Albumin	14.75	1.76E-15	1.28E-11	5.99	1.02E-06	1.58E-02	0	1	NC
6	ENSG00000137193	PIM1	p30270	Mean sphered cell volume	5.08	8.41E-06	9.43E-03	5.88	1.32E-06	1.97E-02	0	1	NC
3	ENSG00000175792	RUVBL1	p30130	Monocyte count	10.60	2.54E-11	1.05E-07	5.88	1.32E-06	1.97E-02	0	1	NC
6	ENSG00000170950	PGK2	p30750	Glycated haemoglobin (HbA1c)	5.82	1.53E-06	2.13E-03	5.79	1.62E-06	2.36E-02	0	1	NC
6	ENSG00000124812	CRISP1	p30260	Mean reticulocyte volume	6.96	1.10E-07	2.01E-04	5.76	1.74E-06	2.47E-02	0	1	NC
6	ENSG00000124812	CRISP1	p30300	High light scatter reticulocyte count	6.70	1.99E-07	3.41E-04	5.75	1.77E-06	2.47E-02	0	1	NC
17	ENSG00000072818	ACAP1	p30600	Albumin	14.39	4.03E-15	2.79E-11	5.72	1.91E-06	2.61E-02	0	1	NC
22	ENSG00000099968	BCL2L13	p30000	White blood cell count	5.38	4.22E-06	5.21E-03	5.67	2.15E-06	2.78E-02	0	1	NC
20	ENSG00000125810	CD93	p30720	Cystatin C	4.90	1.26E-05	1.30E-02	5.68	2.11E-06	2.78E-02	0	1	NC
8	ENSG00000147443	DOK2	p30270	Mean sphered cell volume	4.89	1.30E-05	1.33E-02	5.68	2.11E-06	2.78E-02	0	1	NC
22	ENSG00000131100	ATP6V1E1	p30000	White blood cell count	5.40	4.00E-06	4.98E-03	5.66	2.19E-06	2.79E-02	0	1	NC
11	ENSG00000149591	TAGLN	p30630	Apolipoprotein A	39.72	1.92E-40	5.37E-36	5.64	2.27E-06	2.83E-02	0	1	NC
18	ENSG00000101489	CELF4	p30260	Mean reticulocyte volume	5.01	9.69E-06	1.05E-02	5.53	2.95E-06	3.62E-02	0	1	NC
16	ENSG00000103245	CIAO3	p30750	Glycated haemoglobin (HbA1c)	6.01	9.67E-07	1.40E-03	5.51	3.11E-06	3.62E-02	0	1	NC
16	ENSG00000103253	HAGHL	p30750	Glycated haemoglobin (HbA1c)	6.01	9.67E-07	1.40E-03	5.51	3.11E-06	3.62E-02	0	1	NC
6	ENSG00000124812	CRISP1	p30290	High light scatter reticulocyte percentage	6.77	1.71E-07	3.00E-04	5.52	3.03E-06	3.62E-02	0	1	NC
22	ENSG00000099953	MMP11	p30300	High light scatter reticulocyte count	5.14	7.30E-06	8.41E-03	5.45	3.55E-06	3.99E-02	0	1	NC
22	ENSG00000099956	SMARCB1	p30300	High light scatter reticulocyte count	5.14	7.30E-06	8.41E-03	5.45	3.55E-06	3.99E-02	0	1	NC
22	ENSG00000099953	MMP11	p30290	High light scatter reticulocyte percentage	4.94	1.15E-05	1.21E-02	5.34	4.54E-06	4.83E-02	0	1	NC
22	ENSG00000099956	SMARCB1	p30290	High light scatter reticulocyte percentage	4.94	1.15E-05	1.21E-02	5.34	4.54E-06	4.83E-02	0	1	NC
17	ENSG00000132514	CLEC10A	p30860	Total protein	4.84	1.43E-05	1.45E-02	5.36	4.37E-06	4.83E-02	0	1	NC
5	ENSG00000234284	ZNF879	p30260	Mean reticulocyte volume	5.13	7.49E-06	8.57E-03	5.34	4.56E-06	4.83E-02	0	1	NC
