CHROM	GENE	GENENAME	TRAIT	TRAITNAME	PVAL	LOG10P	FDR	P<1e-9	ANNOTATION
12	ENSG00000073060	SCARB1	p30760	HDL Cholesterol	3.38E-35	34.4711	7.14E-31	1	CDS
19	ENSG00000125910	S1PR4	p30140	Neutrophill count	4.30E-35	34.3666	8.85E-31	1	CDS
7	ENSG00000130427	EPO	p30020	Haemoglobin concentration	5.68E-35	34.246	1.14E-30	1	CDS
16	ENSG00000213398	LCAT	p30630	Apolipoprotein A	1.16E-34	33.936	2.27E-30	1	CDS
11	ENSG00000110245	APOC3	p30870	Triglycerides	3.34E-34	33.4757	6.38E-30	1	CDS
3	ENSG00000075651	PLD1	p30070	Red blood cell distribution width	5.49E-33	32.2608	1.02E-28	1	CDS
19	ENSG00000130164	LDLR	p30640	Apolipoprotein B	6.05E-33	32.2184	1.10E-28	1	CDS
17	ENSG00000240505	TNFRSF13B	p30860	Total protein	2.62E-32	31.5811	4.66E-28	1	CDS
7	ENSG00000106327	TFR2	p30020	Haemoglobin concentration	2.99E-32	31.5249	5.19E-28	1	CDS
17	ENSG00000240505	TNFRSF13B	p30090	Platelet crit	4.12E-32	31.3848	7.01E-28	1	CDS
19	ENSG00000125910	S1PR4	p30000	White blood cell count	1.42E-31	30.8464	2.37E-27	1	CDS
16	ENSG00000140968	IRF8	p30130	Monocyte count	4.13E-30	29.3839	6.73E-26	1	CDS
16	ENSG00000140968	IRF8	p30190	Monocyte percentage	2.93E-29	28.5335	4.67E-25	1	CDS
7	ENSG00000130427	EPO	p30010	Red blood cell count	1.71E-28	27.7673	2.67E-24	1	CDS
18	ENSG00000101782	RIOK3	p30290	High light scatter reticulocyte percentage	2.52E-28	27.5983	3.87E-24	1	CDS
15	ENSG00000166035	LIPC	p30760	HDL Cholesterol	3.18E-28	27.4975	4.78E-24	1	CDS
4	ENSG00000123739	PLA2G12A	p30630	Apolipoprotein A	4.43E-28	27.3533	6.54E-24	1	CDS
1	ENSG00000175984	DENND2C	p30110	Platelet distribution width	2.69E-27	26.5706	3.89E-23	1	CDS
18	ENSG00000101782	RIOK3	p30300	High light scatter reticulocyte count	2.93E-27	26.5334	4.16E-23	1	CDS
2	ENSG00000185038	MROH2A	p30660	Direct bilirubin	3.56E-26	25.4485	4.97E-22	1	CDS
11	ENSG00000118137	APOA1	p30760	HDL Cholesterol	7.58E-26	25.1204	1.04E-21	1	CDS
19	ENSG00000130164	LDLR	p30690	Cholesterol	6.55E-25	24.1836	8.84E-21	1	CDS
18	ENSG00000101782	RIOK3	p30240	Reticulocyte percentage	2.56E-24	23.5918	3.39E-20	1	CDS
2	ENSG00000242515	UGT1A10	p30660	Direct bilirubin	3.76E-24	23.4253	4.90E-20	1	CDS
2	ENSG00000167165	UGT1A6	p30660	Direct bilirubin	4.66E-24	23.3319	5.97E-20	1	CDS
1	ENSG00000117400	MPL	p30080	Platelet count	7.80E-24	23.108	9.84E-20	1	CDS
2	ENSG00000244122	UGT1A7	p30660	Direct bilirubin	1.01E-23	22.9937	1.26E-19	1	CDS
6	ENSG00000137198	GMPR	p30240	Reticulocyte percentage	2.08E-23	22.6829	2.54E-19	1	CDS
1	ENSG00000117400	MPL	p30090	Platelet crit	2.49E-23	22.6046	2.99E-19	1	CDS
5	ENSG00000113504	SLC12A7	p30070	Red blood cell distribution width	3.16E-23	22.5002	3.75E-19	1	CDS
7	ENSG00000106327	TFR2	p30030	Haematocrit percentage	1.83E-22	21.7386	2.13E-18	1	CDS
18	ENSG00000101782	RIOK3	p30250	Reticulocyte count	3.19E-22	21.4965	3.67E-18	1	CDS
13	ENSG00000122025	FLT3	p30130	Monocyte count	3.78E-22	21.4221	4.29E-18	1	CDS
4	ENSG00000285330	ENSG00000285330	p30630	Apolipoprotein A	4.12E-22	21.3855	4.60E-18	1	CDS
17	ENSG00000240505	TNFRSF13B	p30130	Monocyte count	4.89E-22	21.3111	5.38E-18	1	CDS
16	ENSG00000103335	PIEZO1	p30750	Glycated haemoglobin (HbA1c)	6.77E-22	21.1694	7.35E-18	1	CDS
11	ENSG00000118137	APOA1	p30630	Apolipoprotein A	7.62E-22	21.1179	8.17E-18	1	CDS
10	ENSG00000148483	TMEM236	p30650	Aspartate aminotransferase	8.12E-22	21.0902	8.59E-18	1	CDS
3	ENSG00000175054	ATR	p30270	Mean sphered cell volume	2.60E-21	20.5858	2.71E-17	1	CDS
6	ENSG00000137198	GMPR	p30290	High light scatter reticulocyte percentage	8.90E-21	20.0507	9.16E-17	1	CDS
16	ENSG00000087237	CETP	p30760	HDL Cholesterol	1.14E-20	19.9439	1.16E-16	1	CDS
17	ENSG00000236320	SLFN14	p30110	Platelet distribution width	2.75E-20	19.5601	2.76E-16	1	CDS
2	ENSG00000054219	LY75	p30090	Platelet crit	5.52E-20	19.2577	5.47E-16	1	CDS
2	ENSG00000084674	APOB	p30690	Cholesterol	6.27E-20	19.2025	6.13E-16	1	CDS
3	ENSG00000169704	GP9	p30080	Platelet count	8.13E-20	19.09	7.85E-16	1	CDS
6	ENSG00000137198	GMPR	p30250	Reticulocyte count	1.13E-19	18.9452	1.08E-15	1	CDS
5	ENSG00000145703	IQGAP2	p30080	Platelet count	1.92E-19	18.7174	1.81E-15	1	CDS
12	ENSG00000111700	SLCO1B3	p30660	Direct bilirubin	2.29E-19	18.6407	2.13E-15	1	CDS
19	ENSG00000104870	FCGRT	p30680	Calcium	2.52E-19	18.5987	2.32E-15	1	CDS
2	ENSG00000248672	LY75-CD302	p30090	Platelet crit	3.02E-19	18.5204	2.74E-15	1	CDS
4	ENSG00000123739	PLA2G12A	p30760	HDL Cholesterol	3.66E-19	18.4365	3.29E-15	1	CDS
17	ENSG00000142494	SLC47A1	p30700	Creatinine	5.27E-19	18.2781	4.68E-15	1	CDS
4	ENSG00000123739	PLA2G12A	p30870	Triglycerides	7.12E-19	18.1478	6.25E-15	1	CDS
11	ENSG00000110243	APOA5	p30870	Triglycerides	8.44E-19	18.0735	7.34E-15	1	CDS
12	ENSG00000073060	SCARB1	p30630	Apolipoprotein A	1.26E-18	17.9	1.08E-14	1	CDS
3	ENSG00000175054	ATR	p30260	Mean reticulocyte volume	1.27E-18	17.8961	1.08E-14	1	CDS
2	ENSG00000163466	ARPC2	p30140	Neutrophill count	1.66E-18	17.7799	1.40E-14	1	CDS
6	ENSG00000137198	GMPR	p30300	High light scatter reticulocyte count	2.10E-18	17.6768	1.75E-14	1	CDS
3	ENSG00000036828	CASR	p30680	Calcium	3.17E-18	17.4985	2.61E-14	1	CDS
9	ENSG00000165029	ABCA1	p30690	Cholesterol	3.39E-18	17.4701	2.76E-14	1	CDS
3	ENSG00000214706	IFRD2	p30290	High light scatter reticulocyte percentage	3.80E-18	17.4204	3.06E-14	1	CDS
3	ENSG00000214706	IFRD2	p30240	Reticulocyte percentage	1.38E-17	16.8586	1.11E-13	1	CDS
9	ENSG00000107099	DOCK8	p30110	Platelet distribution width	1.67E-17	16.776	1.32E-13	1	CDS
7	ENSG00000106266	SNX8	p30860	Total protein	2.30E-17	16.6378	1.78E-13	1	CDS
2	ENSG00000244474	UGT1A4	p30660	Direct bilirubin	2.30E-17	16.6374	1.78E-13	1	CDS
3	ENSG00000214706	IFRD2	p30300	High light scatter reticulocyte count	2.50E-17	16.6028	1.91E-13	1	CDS
8	ENSG00000175445	LPL	p30760	HDL Cholesterol	3.42E-17	16.4665	2.59E-13	1	CDS
11	ENSG00000133805	AMPD3	p30750	Glycated haemoglobin (HbA1c)	5.25E-17	16.2798	3.95E-13	1	CDS
2	ENSG00000115956	PLEK	p30110	Platelet distribution width	1.15E-16	15.9398	8.56E-13	1	CDS
4	ENSG00000163631	ALB	p30600	Albumin	2.89E-16	15.5393	2.13E-12	1	CDS
3	ENSG00000214706	IFRD2	p30250	Reticulocyte count	5.44E-16	15.2648	3.97E-12	1	CDS
18	ENSG00000101782	RIOK3	p30280	Immature reticulocyte fraction	6.77E-16	15.1695	4.88E-12	1	CDS
17	ENSG00000262165	C17orf114	p30110	Platelet distribution width	6.80E-16	15.1672	4.88E-12	1	CDS
11	ENSG00000110245	APOC3	p30760	HDL Cholesterol	9.09E-16	15.0415	6.46E-12	1	CDS
13	ENSG00000122025	FLT3	p30190	Monocyte percentage	9.88E-16	15.0051	6.96E-12	1	CDS
20	ENSG00000101162	TUBB1	p30090	Platelet crit	1.37E-15	14.8626	9.58E-12	1	CDS
4	ENSG00000285330	ENSG00000285330	p30760	HDL Cholesterol	2.62E-15	14.5814	1.81E-11	1	CDS
6	ENSG00000112499	SLC22A2	p30700	Creatinine	3.07E-15	14.5124	2.11E-11	1	CDS
2	ENSG00000180871	CXCR2	p30190	Monocyte percentage	6.45E-15	14.1905	4.39E-11	1	CDS
5	ENSG00000154122	ANKH	p30750	Glycated haemoglobin (HbA1c)	9.16E-15	14.0383	6.17E-11	1	CDS
16	ENSG00000213398	LCAT	p30270	Mean sphered cell volume	1.06E-14	13.9739	7.10E-11	1	CDS
2	ENSG00000163466	ARPC2	p30000	White blood cell count	1.20E-14	13.9206	7.96E-11	1	CDS
19	ENSG00000125910	S1PR4	p30150	Eosinophill count	3.48E-14	13.4589	2.28E-10	1	CDS
2	ENSG00000205639	MFSD2B	p30090	Platelet crit	3.76E-14	13.4249	2.45E-10	1	CDS
14	ENSG00000092067	CEBPE	p30190	Monocyte percentage	5.95E-14	13.2253	3.85E-10	1	CDS
11	ENSG00000149781	FERMT3	p30280	Immature reticulocyte fraction	6.31E-14	13.2003	4.04E-10	1	CDS
12	ENSG00000111252	SH2B3	p30720	Cystatin C	6.83E-14	13.1655	4.34E-10	1	CDS
4	ENSG00000285330	ENSG00000285330	p30870	Triglycerides	9.48E-14	13.023	5.98E-10	1	CDS
22	ENSG00000177663	IL17RA	p30000	White blood cell count	1.07E-13	12.972	6.67E-10	1	CDS
6	ENSG00000137204	SLC22A7	p30700	Creatinine	1.12E-13	12.9506	6.95E-10	1	CDS
17	ENSG00000240505	TNFRSF13B	p30080	Platelet count	1.49E-13	12.8272	9.17E-10	1	CDS
19	ENSG00000125910	S1PR4	p30200	Neutrophill percentage	1.89E-13	12.7246	1.15E-09	1	CDS
17	ENSG00000240505	TNFRSF13B	p30190	Monocyte percentage	2.24E-13	12.6499	1.36E-09	1	CDS
5	ENSG00000174358	SLC6A19	p30700	Creatinine	2.36E-13	12.6263	1.42E-09	1	CDS
18	ENSG00000101670	LIPG	p30690	Cholesterol	2.94E-13	12.5315	1.76E-09	1	CDS
19	ENSG00000125910	S1PR4	p30180	Lymphocyte percentage	3.00E-13	12.5224	1.78E-09	1	CDS
8	ENSG00000175445	LPL	p30630	Apolipoprotein A	3.64E-13	12.4386	2.14E-09	1	CDS
11	ENSG00000160593	JAML	p30000	White blood cell count	3.79E-13	12.4215	2.21E-09	1	CDS
4	ENSG00000163631	ALB	p30680	Calcium	4.59E-13	12.3378	2.66E-09	1	CDS
2	ENSG00000081479	LRP2	p30700	Creatinine	4.82E-13	12.3168	2.77E-09	1	CDS
8	ENSG00000175445	LPL	p30870	Triglycerides	5.79E-13	12.2372	3.31E-09	1	CDS
3	ENSG00000169704	GP9	p30110	Platelet distribution width	6.24E-13	12.205	3.53E-09	1	CDS
2	ENSG00000241119	UGT1A9	p30660	Direct bilirubin	6.56E-13	12.183	3.69E-09	1	CDS
11	ENSG00000160593	JAML	p30140	Neutrophill count	7.28E-13	12.138	4.07E-09	1	CDS
19	ENSG00000130158	DOCK6	p30280	Immature reticulocyte fraction	8.84E-13	12.0535	4.90E-09	1	CDS
19	ENSG00000125910	S1PR4	p30130	Monocyte count	1.30E-12	11.8871	7.14E-09	1	CDS
9	ENSG00000165702	GFI1B	p30080	Platelet count	3.77E-12	11.4241	2.06E-08	1	CDS
2	ENSG00000054219	LY75	p30080	Platelet count	4.49E-12	11.3478	2.44E-08	1	CDS
1	ENSG00000196660	SLC30A10	p30650	Aspartate aminotransferase	7.06E-12	11.1513	3.81E-08	1	CDS
17	ENSG00000240505	TNFRSF13B	p30120	Lymphocyte count	7.13E-12	11.1471	3.82E-08	1	CDS
7	ENSG00000166925	TSC22D4	p30070	Red blood cell distribution width	7.32E-12	11.1353	3.88E-08	1	CDS
11	ENSG00000160584	SIK3	p30870	Triglycerides	7.34E-12	11.1344	3.88E-08	1	CDS
22	ENSG00000177663	IL17RA	p30150	Eosinophill count	8.19E-12	11.0867	4.30E-08	1	CDS
1	ENSG00000143627	PKLR	p30240	Reticulocyte percentage	8.24E-12	11.084	4.30E-08	1	CDS
17	ENSG00000262165	C17orf114	p30080	Platelet count	1.13E-11	10.948	5.84E-08	1	CDS
19	ENSG00000130158	DOCK6	p30300	High light scatter reticulocyte count	1.29E-11	10.8891	6.64E-08	1	CDS
1	ENSG00000183508	TENT5C	p30240	Reticulocyte percentage	1.32E-11	10.8793	6.75E-08	1	CDS
2	ENSG00000248672	LY75-CD302	p30080	Platelet count	1.34E-11	10.8735	6.80E-08	1	CDS
1	ENSG00000198965	OR10R2	p30260	Mean reticulocyte volume	2.05E-11	10.6883	1.03E-07	1	CDS
2	ENSG00000084674	APOB	p30870	Triglycerides	2.21E-11	10.6553	1.11E-07	1	CDS
7	ENSG00000106327	TFR2	p30750	Glycated haemoglobin (HbA1c)	4.17E-11	10.3798	2.08E-07	1	CDS
4	ENSG00000163694	RBM47	p30670	Urea	4.26E-11	10.3701	2.11E-07	1	CDS
17	ENSG00000240505	TNFRSF13B	p30600	Albumin	5.03E-11	10.2982	2.48E-07	1	CDS
2	ENSG00000163466	ARPC2	p30200	Neutrophill percentage	5.20E-11	10.2844	2.54E-07	1	CDS
13	ENSG00000134873	CLDN10	p30720	Cystatin C	6.22E-11	10.2065	3.02E-07	1	CDS
5	ENSG00000174358	SLC6A19	p30070	Red blood cell distribution width	6.95E-11	10.1583	3.35E-07	1	CDS
11	ENSG00000244734	HBB	p30010	Red blood cell count	7.91E-11	10.1017	3.80E-07	1	CDS
1	ENSG00000164010	ERMAP	p30070	Red blood cell distribution width	8.96E-11	10.0479	4.27E-07	1	CDS
19	ENSG00000104866	PPP1R37	p30640	Apolipoprotein B	9.03E-11	10.0442	4.28E-07	1	CDS
19	ENSG00000130158	DOCK6	p30290	High light scatter reticulocyte percentage	1.01E-10	9.9974	4.74E-07	1	CDS
9	ENSG00000096968	JAK2	p30070	Red blood cell distribution width	1.03E-10	9.98642	4.83E-07	1	CDS
2	ENSG00000288702	UGT1A3	p30660	Direct bilirubin	1.18E-10	9.92668	5.51E-07	1	CDS
2	ENSG00000115956	PLEK	p30090	Platelet crit	1.26E-10	9.89995	5.83E-07	1	CDS
1	ENSG00000143627	PKLR	p30030	Haematocrit percentage	1.60E-10	9.79632	7.35E-07	1	CDS
1	ENSG00000143627	PKLR	p30290	High light scatter reticulocyte percentage	1.81E-10	9.74118	8.30E-07	1	CDS
19	ENSG00000130204	TOMM40	p30710	C-reactive protein	1.89E-10	9.72364	8.55E-07	1	CDS
11	ENSG00000025434	NR1H3	p30760	HDL Cholesterol	1.89E-10	9.72331	8.55E-07	1	CDS
7	ENSG00000106327	TFR2	p30070	Red blood cell distribution width	1.91E-10	9.71906	8.58E-07	1	CDS
12	ENSG00000111271	ACAD10	p30080	Platelet count	2.01E-10	9.69771	8.96E-07	1	CDS
9	ENSG00000198569	SLC34A3	p30720	Cystatin C	2.21E-10	9.65538	9.83E-07	1	CDS
17	ENSG00000004939	SLC4A1	p30260	Mean reticulocyte volume	2.50E-10	9.60163	1.11E-06	1	CDS
11	ENSG00000109917	ZPR1	p30870	Triglycerides	2.55E-10	9.59295	1.12E-06	1	CDS
9	ENSG00000165702	GFI1B	p30110	Platelet distribution width	2.91E-10	9.53555	1.27E-06	1	CDS
12	ENSG00000111271	ACAD10	p30090	Platelet crit	3.31E-10	9.48065	1.44E-06	1	CDS
19	ENSG00000167601	AXL	p30750	Glycated haemoglobin (HbA1c)	3.47E-10	9.45944	1.50E-06	1	CDS
1	ENSG00000143627	PKLR	p30020	Haemoglobin concentration	3.75E-10	9.42605	1.61E-06	1	CDS
11	ENSG00000167325	RRM1	p30260	Mean reticulocyte volume	3.79E-10	9.42151	1.62E-06	1	CDS
4	ENSG00000196616	ADH1B	p30630	Apolipoprotein A	5.09E-10	9.29331	2.16E-06	1	CDS
2	ENSG00000115956	PLEK	p30120	Lymphocyte count	5.17E-10	9.28646	2.19E-06	1	CDS
4	ENSG00000123739	PLA2G12A	p30090	Platelet crit	5.91E-10	9.22832	2.49E-06	1	CDS
22	ENSG00000183765	CHEK2	p30090	Platelet crit	6.20E-10	9.20775	2.59E-06	1	CDS
7	ENSG00000106327	TFR2	p30010	Red blood cell count	6.51E-10	9.18644	2.71E-06	1	CDS
11	ENSG00000110243	APOA5	p30760	HDL Cholesterol	7.14E-10	9.14603	2.96E-06	1	CDS
11	ENSG00000110245	APOC3	p30630	Apolipoprotein A	7.91E-10	9.10182	3.26E-06	1	CDS
3	ENSG00000175054	ATR	p30250	Reticulocyte count	8.47E-10	9.07188	3.47E-06	1	CDS
19	ENSG00000269720	CCDC194	p30810	Phosphate	1.01E-09	8.9949	4.12E-06	0	CDS
3	ENSG00000183625	CCR3	p30150	Eosinophill count	1.13E-09	8.94861	4.56E-06	0	CDS
3	ENSG00000175054	ATR	p30070	Red blood cell distribution width	1.17E-09	8.93268	4.71E-06	0	CDS
19	ENSG00000267534	S1PR2	p30300	High light scatter reticulocyte count	1.22E-09	8.91347	4.89E-06	0	CDS
19	ENSG00000080031	PTPRH	p30090	Platelet crit	1.31E-09	8.88198	5.24E-06	0	CDS
19	ENSG00000267534	S1PR2	p30290	High light scatter reticulocyte percentage	1.38E-09	8.86076	5.47E-06	0	CDS
1	ENSG00000198965	OR10R2	p30270	Mean sphered cell volume	1.40E-09	8.85327	5.54E-06	0	CDS
11	ENSG00000168071	CCDC88B	p30280	Immature reticulocyte fraction	1.49E-09	8.82597	5.87E-06	0	CDS
1	ENSG00000078369	GNB1	p30210	Eosinophill percentage	1.61E-09	8.79207	6.31E-06	0	CDS
6	ENSG00000170927	PKHD1	p30700	Creatinine	1.77E-09	8.75318	6.87E-06	0	CDS
3	ENSG00000169704	GP9	p30090	Platelet crit	2.24E-09	8.64934	8.68E-06	0	CDS
16	ENSG00000087237	CETP	p30630	Apolipoprotein A	2.57E-09	8.59088	9.88E-06	0	CDS
3	ENSG00000114786	ABHD14A-ACY1	p30770	IGF-1	2.59E-09	8.58606	9.94E-06	0	CDS
2	ENSG00000085982	USP40	p30660	Direct bilirubin	2.64E-09	8.57916	1.01E-05	0	CDS
1	ENSG00000132855	ANGPTL3	p30870	Triglycerides	2.74E-09	8.56241	1.04E-05	0	CDS
3	ENSG00000243989	ACY1	p30770	IGF-1	3.04E-09	8.51686	1.15E-05	0	CDS
17	ENSG00000259384	GH1	p30770	IGF-1	3.22E-09	8.49192	1.21E-05	0	CDS
2	ENSG00000205639	MFSD2B	p30290	High light scatter reticulocyte percentage	3.62E-09	8.441	1.36E-05	0	CDS
7	ENSG00000146674	IGFBP3	p30770	IGF-1	3.78E-09	8.42287	1.41E-05	0	CDS
12	ENSG00000111252	SH2B3	p30150	Eosinophill count	4.61E-09	8.33657	1.71E-05	0	CDS
19	ENSG00000267534	S1PR2	p30240	Reticulocyte percentage	4.67E-09	8.33037	1.72E-05	0	CDS
1	ENSG00000196660	SLC30A10	p30620	Alanine aminotransferase	4.85E-09	8.31462	1.78E-05	0	CDS
15	ENSG00000198535	C2CD4A	p30770	IGF-1	5.34E-09	8.27207	1.95E-05	0	CDS
19	ENSG00000267534	S1PR2	p30250	Reticulocyte count	5.36E-09	8.27123	1.95E-05	0	CDS
2	ENSG00000163219	ARHGAP25	p30130	Monocyte count	5.39E-09	8.26804	1.95E-05	0	CDS
2	ENSG00000077044	DGKD	p30660	Direct bilirubin	5.62E-09	8.24995	2.03E-05	0	CDS
1	ENSG00000116183	PAPPA2	p30770	IGF-1	5.89E-09	8.22959	2.11E-05	0	CDS
17	ENSG00000161905	ALOX15	p30150	Eosinophill count	5.91E-09	8.22819	2.11E-05	0	CDS
6	ENSG00000135587	SMPD2	p30070	Red blood cell distribution width	6.47E-09	8.18923	2.30E-05	0	CDS
1	ENSG00000175984	DENND2C	p30080	Platelet count	6.56E-09	8.18291	2.32E-05	0	CDS
20	ENSG00000101166	PRELID3B	p30110	Platelet distribution width	7.11E-09	8.14815	2.50E-05	0	CDS
7	ENSG00000106266	SNX8	p30600	Albumin	7.13E-09	8.1467	2.50E-05	0	CDS
2	ENSG00000163466	ARPC2	p30180	Lymphocyte percentage	7.24E-09	8.14024	2.53E-05	0	CDS
7	ENSG00000135218	CD36	p30110	Platelet distribution width	7.83E-09	8.10607	2.72E-05	0	CDS
1	ENSG00000163554	SPTA1	p30270	Mean sphered cell volume	8.32E-09	8.07976	2.88E-05	0	CDS
2	ENSG00000205639	MFSD2B	p30120	Lymphocyte count	8.42E-09	8.07476	2.89E-05	0	CDS
5	ENSG00000145703	IQGAP2	p30300	High light scatter reticulocyte count	8.43E-09	8.07442	2.89E-05	0	CDS
5	ENSG00000174358	SLC6A19	p30720	Cystatin C	8.76E-09	8.05727	2.98E-05	0	CDS
12	ENSG00000173064	HECTD4	p30090	Platelet crit	8.77E-09	8.05691	2.98E-05	0	CDS
2	ENSG00000115956	PLEK	p30130	Monocyte count	8.93E-09	8.04921	3.02E-05	0	CDS
1	ENSG00000183508	TENT5C	p30250	Reticulocyte count	9.29E-09	8.03186	3.13E-05	0	CDS
1	ENSG00000143627	PKLR	p30250	Reticulocyte count	9.39E-09	8.02734	3.15E-05	0	CDS
17	ENSG00000161905	ALOX15	p30210	Eosinophill percentage	1.13E-08	7.94605	3.78E-05	0	CDS
16	ENSG00000213398	LCAT	p30070	Red blood cell distribution width	1.14E-08	7.94302	3.79E-05	0	CDS
14	ENSG00000197249	SERPINA1	p30600	Albumin	1.20E-08	7.92253	3.96E-05	0	CDS
16	ENSG00000048462	TNFRSF17	p30860	Total protein	1.24E-08	7.908	4.08E-05	0	CDS
5	ENSG00000145703	IQGAP2	p30290	High light scatter reticulocyte percentage	1.36E-08	7.86505	4.48E-05	0	CDS
3	ENSG00000183625	CCR3	p30210	Eosinophill percentage	1.78E-08	7.74841	5.84E-05	0	CDS
11	ENSG00000123892	RAB38	p30810	Phosphate	1.95E-08	7.71062	6.34E-05	0	CDS
16	ENSG00000162009	SSTR5	p30770	IGF-1	1.99E-08	7.70207	6.44E-05	0	CDS
3	ENSG00000175054	ATR	p30240	Reticulocyte percentage	2.05E-08	7.689	6.61E-05	0	CDS
1	ENSG00000143627	PKLR	p30010	Red blood cell count	2.26E-08	7.64618	7.27E-05	0	CDS
5	ENSG00000145623	OSMR	p30280	Immature reticulocyte fraction	2.29E-08	7.64073	7.33E-05	0	CDS
5	ENSG00000145703	IQGAP2	p30250	Reticulocyte count	2.42E-08	7.61543	7.74E-05	0	CDS
11	ENSG00000133805	AMPD3	p30300	High light scatter reticulocyte count	2.49E-08	7.60295	7.93E-05	0	CDS
12	ENSG00000173064	HECTD4	p30080	Platelet count	2.70E-08	7.56891	8.54E-05	0	CDS
3	ENSG00000121807	CCR2	p30190	Monocyte percentage	2.76E-08	7.55911	8.70E-05	0	CDS
8	ENSG00000029534	ANK1	p30270	Mean sphered cell volume	3.04E-08	7.5172	9.55E-05	0	CDS
22	ENSG00000100209	HSCB	p30070	Red blood cell distribution width	3.24E-08	7.48945	0.0001013557517	0	CDS
2	ENSG00000030419	IKZF2	p30210	Eosinophill percentage	3.42E-08	7.46541	0.0001066976087	0	CDS
1	ENSG00000143627	PKLR	p30300	High light scatter reticulocyte count	3.72E-08	7.42898	0.0001155733939	0	CDS
6	ENSG00000122194	PLG	p30720	Cystatin C	3.87E-08	7.4118	0.0001197616819	0	CDS
